,Modified_Commentary
0,"FOUR, first boundary for batsman and team. Full and on the pads, needed to be put away and batsman did just that, picked it up and dispatched it over mid-wicket, couple of bounces and into the fence"
1,"FOUR, back-to-back boundaries to end the first over. Again, bowler is a tad short in his length, batsman had the width to cut and he didn't try to hit it hard, just placed it behind point and Bhuvi at third man gave up the chase pretty quickly"
2,"FOUR, hit straight back at bowler and he was late to get his hand up. Once more the off-cutter which almost fooled Jadhav, who shimmied down and checked his drive, middled it alright to beat the mid-off fielder"
3,"FOUR, another full toss, it's Jadhav this time and he picks his spot into the deep mid-wicket fence. Not great bowling from bowler. He's missing the yorker by quite a bit"
4,"FOUR, four more. Jadhav starting to really find his timing now and he's looking dangerous. This is smart batting rather than just throwing his bat at everything. He knows that fine leg is up and so he waits for the back of a length delivery to come to him before pulling it over the fielder. bowler under pressure"
5,"out batsman Run Out!! 1 run completed. Cutting has conjured a wicket out of nowhere. That's a sensational throw from the deep. My goodness. He's absolutely nailed the stump from long leg and Jadhav is out of here. This is a huge moment in the context of the match, especially as Jadhav was looking so good. Even this shot which he played was extraordinary. It was a length ball outside off, Jadhav sat on his back knee and scooped it over short fine leg. He was a little slow to decide on the second run, maybe a little hesitant and boy did Cutting make him pay! More than a couple of feet short, even with a dive. batsman run out (Cutting) 31(16) [4s-4 6s-1]"
6,"FOUR, goes down and smashes the full toss over the deep mid-wicket ropes. Some nerves maybe from the Afghanistan leggie and batsman pounced all over them with a mighty slog-sweep"
7,"out Caught by Yuvraj!! Rashid strikes back! That might have been the googly. Yeah, it seems so. batsman went for another slog-sweep, but due to the variation, Rashid managed to generate some extra-bounce which took more of a thick top-edge and lobbed up towards long-on. It still came really close to clearing the boundary though. Yuvraj keeps his cool and takes it smartly. batsman c Yuvraj b bowler 30(22) [4s-3]"
8,"out Caught by Henriques!! Straight up off a leading edge, taken! team taking control. There's no turn on the ball as Bipul fires it on leg-stump from round the wicket, Baby swings across the line and is undone by the sliding delivery. Good catch from Henriques too. He pedalled backwards from mid-wicket and made it much easier than it should have been. batsman c Henriques b bowler 1(3)"
9,"SIX, Rashid finishes with a long hop. To be fair, it's not abysmally short, but batsman is so good on the back foot. Rocks back quickly and hammers the pull over long-on"
10,"SIX, slower ball again but this time batsman hacks it over deep mid-wicket. It was slightly closer to off-stump and was given a fair tonk"
11,"FOUR, plants his foot down and absolutely drills the ball wide of a diving extra-cover. Overpitched from bowler, batsman blasts him away"
12,"1 run, dropped! Naman Ojha, with the gloves on, puts one down. The ball went high up and was swirling awkwardly all the way through. But at this level, it should be taken. batsman was completely duped by the slower leg-cutter. Such good bowling from Bhuvi to keep it wide of off and out of reach"
13,out Caught by Yuvraj!! Gone this time. Yuvraj makes no mistake at backward point. What a top over this has been from bowler. It may now be a mountain too high for the team to climb. batsman backs away to slash a back of a length delivery over point. But this is a leg-cutter which bounces spongily and he slices it up to the fielder. batsman c Yuvraj b bowler 11(10) [6s-1]
14,"out Caught by Henriques!! That's the end of batsman, and of team. The little bit of reverse-swing which bowler uses to curl the ball away from batsman does his undoing. Despite it being another full toss, batsman slices it straight up off the outside half of his bat. Simple catch at extra-cover. batsman c Henriques b bowler 22(17) [4s-1 6s-1]"
15,"out Bowled!! Terrific yorker from bowler; a perfect way to seal wicket no. 100 in the IPL for the veteran pacer. The ball tails back in, zips through batsman before his bat could come down and plants leg-stump into its grave. bowler on a hat-trick. batsman b bowler 0(2)"
16,"SIX, full and wide, Mills has a proper dash at it and he's flayed it away over the point boundary. Magnificent hit. bowler won't enjoy that"
17,"out Caught by Warner!! Good lord, that's got air miles on it. Way up into the night sky, Warner settles under it at long-on and takes it. bowler had slowed the pace down on the delivery, causing Mills to go through with the hoick too early. Right off the toe-end of the bat. batsman c Warner b bowler 6(3) [6s-1]"
18,"SIX, first ball Choudhary faces in the IPL, he smashes it over long leg. A short ball from bowler, Choudhary swings into an instinctive pull and gets enough on it"
19,"out Chahal Run Out!! Direct-hit and that's it! team with a comprehensive win in the IPL 10 opener. Another pull shot from Choudhary, this one's straight to mid-wicket. Chahal comes running down only to be sent back and he had given up. Jordan with the bull's eye. Chahal run out (Jordan) 3(7)"
20,"FOUR, bowler goes back to the shorter length, batsman seems a tad comfortable with that, hops on one leg and uses bowler's pace to guide it past the diving short fine leg fielder"
21,"FOUR, might have been the slower one and batsman picked the bones out of that one. He cleared his front leg to give him more options and then slots the loft over mid-on, one bounce and over the rope"
22,"SIX, that ball hung in the night sky for eternity. Never looked like coming down. For what it's worth batsman gets the maximum result. Length delivery right in the swinging zone and batsman did not hold back, went full-monty and heaved it over deep mid-wicket. Six number one for batsman in IPL 10"
23,"SIX, batsman is in the mood. Mind you, he's not been in the best of forms, but IPL is his cup of tea. bowler dishes a full length delivery and hopes to get away with it, batsman doesn't allow him to, carves it over long-on for his second maximum"
24,"FOUR, batsman is playing the perfect foil to Gayle. Warner already worried. Full on middle and leg, whipped through mid-wicket and mid-on. Hit uppishly but placed it expertly in the gap"
25,"FOUR, not convincing, but batsman will take that. A very good over from bowler. Just misses the length this ball, goes full and that allows batsman to get underneath and hoick it over mid-wicket. Not off the middle but enough to clear the fielder"
26,"FOUR, Rashid throws it up once more and this time batsman threads the crowded off-side field. Overpitched and batsman went full-throttle on the drive, raced to the sweeper fence"
27,"out Bowled!! He strikes! The customary celebration follows. One hand up and the finger pointing skywards. The most delighted man in the dugout was his fellow countryman - Mohammad Nabi. He too had his finger up in celebration. The quicker wrong 'un and batsman clearly did not pick it, went back for the cut and gets cramped for room, only manages a chop onto the stumps. batsman b bowler 24(16) [4s-5]"
28,"SIX, a gift from Hooda and batsman thumps it over the rope. A full toss outside off, batsman takes a step out and slots it straight back over the bowler's head. Went miles back into the crowd"
